,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
122,Jude Bellingham,MF,eng England,23-001,1.es Real Madrid,2003,3,3,222,2.5,2,1,3,2,0,0,0,0,0.81,0.41,1.22,0.81,1.22,Matches
123,Mortadha Ben Ouanes,"DF,MF",tn Tunisia,31-363,1.tr Kas?mpa?a,1994,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
124,Anis Ben Slimane,"MF,FW",tn Tunisia,25-106,2.eng Norwich City,2001,3,3,240,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
125,Oussama Benbot,GK,dz Algeria,31-262,1.dz USM Alger,1994,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Nadhir Benbouali,FW,dz Algeria,26-074,1.hu Gy?r,2000,1,0,45,0.5,1,0,1,1,0,0,0,0,2,0,2,2,2,Matches
127,Gilson Benchimol,FW,cv Cabo Verde,24-183,1.ru Akron Tolyatti,2001,1,1,57,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
128,Ramy Bensebaini,DF,dz Algeria,31-075,1.de Dortmund,1995,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
129,Nabil Bentaleb,MF,dz Algeria,31-218,1.fr Lille,1994,3,2,215,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
130,Rodrigo Bentancur,MF,uy Uruguay,29-005,1.eng Tottenham,1997,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
131,Patrick Berg,MF,no Norway,28-218,1.no Bodø/Glimt,1997,3,1,145,1.6,0,1,1,0,0,0,1,0,0,0.62,0.62,0,0.62,Matches
132,Sander Berge,MF,no Norway,28-136,1.eng Fulham,1998,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
133,Lucas Bergvall,MF,se Sweden,20-148,1.eng Tottenham,2006,3,0,116,1.3,0,1,1,0,0,0,1,0,0,0.78,0.78,0,0.78,Matches
134,Sebastian Berhalter,MF,us United States,25-051,1.us Vancouver,2001,3,1,152,1.7,1,1,2,1,0,0,1,0,0.59,0.59,1.18,0.59,1.18,Matches
135,Alexander Bernhardsson,MF,se Sweden,27-295,2.de Holstein Kiel,1998,3,3,217,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
136,Tyler Bindon,DF,nz New Zealand,21-154,2.eng Sheffield United,2005,3,1,97,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
137,César Blackman,"MF,DF",pa Panama,28-089,1.sk Slovan Bratislava,1998,2,2,178,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
138,Damián Bobadilla,MF,py Paraguay,24-354,1.br São Paulo,2001,4,2,189,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
139,Oscar Bobb,FW,no Norway,22-353,1.eng Fulham,2003,3,1,107,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
140,Moïse Bombito,DF,ca Canada,26-092,1.fr Nice,2000,2,1,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
141,Theo Bongonda,"FW,MF",cd Congo DR,30-222,1.ru Spartak Moscow,1995,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
142,Ange-Yoan Bonny,FW,ci Côte d'Ivoire,22-248,1.it Inter,2003,3,2,175,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
143,Jordy Bos,"DF,MF",au Australia,23-244,1.nl Feyenoord,2002,3,3,263,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
144,Ayyoub Bouaddi,MF,ma Morocco,18-271,1.fr Lille,2007,3,3,258,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
145,Hicham Boudaoui,MF,dz Algeria,26-280,1.fr Nice,1999,2,2,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
146,Karim Boudiaf,MF,qa Qatar,35-287,1.qa Al Duhail SC,1990,2,1,102,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
147,Adil Boulbina,FW,dz Algeria,23-059,1.qa Al Duhail SC,2003,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
148,Yassine Bounou,GK,ma Morocco,35-086,1.sa Al-Hilal,1991,4,4,390,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
149,Nawaf Boushal,DF,sa Saudi Arabia,26-287,1.sa Al-Nassr,1999,2,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
150,Michael Boxall,DF,nz New Zealand,37-316,1.us Minnesota Utd,1988,3,2,207,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
